Term,Index
redeem,461
holdings,462
weeks,463
maintain,464
sell,465
offer,466
hold,467
securities,468
advance,469
broad,470
including,471
insurance,472
companies,473
banks,474
managers,475
pension,476
clark,477
expects,478
acid,479
rain,480
canadian,481
foreign,482
secretary,483
winding,484
two-day,485
visit,486
reducing,487
impression,488
movement,489
states,490
judge,491
predict,492
told,493
reporters,494
meetings,495
american,496
officials,497
part,498
routine,499
u.s.-canada,500
consultation,501
groundwork,502
summit,503
ottawa,504
prime,505
minister,506
mulroney,507
discussions,508
james,509
baker,510
democratic,511
sens,512
patrick,513
christopher,514
connecticut,515
lloyd,516
bentsen,517
george,518
mitchell,519
maine,520
yesterday,521
talks,522
vice,523
bush,524
state,525
shultz,526
commerce,527
malcolm,528
baldrige,529
priorities,530
canada,531
seeking,532
prepared,533
live,534
commitment,535
made,536
implement,537
five-year,538
billion,539
test,540
ways,541
burning,542
coal,543
discussed,544
length,545
senators,546
urged,547
heat,548
trade,549
issues,550
mechanism,551
settling,552
disputes,553
partner,554
ford,555
motor,556
distributes,557
profit,558
sharing,559
dallas,560
checks,561
distributed,562
employees,563
facilities,564
average,565
payment,566
employee,567
compared,568
jamaica,569
puts,570
borrowing,571
kingston,572
reduce,573
obligations,574
edward,575
seaga,576
speaking,577
news,578
conference,579
reached,580
maximum,581
undertake,582
justified,583
million,584
dollars,585
government,586
aims,587
ratio,588
payments,589
current,590
total,591
agreed,592
creditor,593
reschedule,594
accord,595
includes,596
grace,597
period,598
principal,599
half,600
reduction,601
rates,602
libor,603
obtained,604
rescheduling,605
paris,606
club,607
fallen,608
faster,609
cell,610
california,611
detecting,612
children,613
procedures,614
corp,615
requires,616
small,617
amount,618
genetic,619
material,620
produces,621
diagnosis,622
unlike,623
require,624
days,625
specialized,626
painful,627
inherited,628
blood,629
cells,630
shape,631
primarily,632
blacks,633
procedure,634
promises,635
rapid,636
sensitive,637
reliable,638
method,639
technique,640
adapted,641
detect,642
british,643
columbia,644
vancouver,645
oper,646
loss,647
ended,648
october,649
assets,650
note,651
excludes,652
extraordinary,653
involving,654
sale,655
hongkong,656
contingent,657
liabilities,658
respect,659
litigation,660
potential,661
reassessment,662
govt,663
deferred,664
debits,665
unit,666
hong,667
kong,668
shanghai,669
banking,670
divs,671
scandal,672
participant,673
immunity,674
albert,675
arms,676
merchant,677
player,678
iran,679
testifying,680
promise,681
investigators,682
select,683
committee,684
probing,685
voted,686
grant,687
limited,688
criminal,689
prosecution,690
return,691
testimony,692
deeply,693
involved,694
start,695
attempt,696
freeing,697
hostages,698
lebanon,699
diversion,700
rebels,701
nicaragua,702
restaurant,703
associates,704
revs,705
carryforward,706
restated,707
split,708
class,709
august,710
michigan,711
general,712
saddle,713
brook,714
discontinued,715
include,716
proved,717
reserves,718
fall,719
natural,720
liquids,721
barrels,722
year-end,723
annual,724
drop,725
resulted,726
exclusion,727
libyan,728
directed,729
operations,730
owns,731
marathon,732
steel,733
diversified,734
businesses,735
oilfield,736
services,737
materials,738
minerals,739
chemicals,740
real,741
estate,742
domestic,743
large,744
middle,745
east,746
reflecting,747
libya,748
trillion,749
cubic,750
feet,751
excluding,752
areas,753
capital,754
spending,755
audited,756
unaudited,757
record,758
gain,759
representing,760
previously,761
credits,762
allowable,763
reflected,764
fourth,765
quarter,766
discussion,767
results,768
plants,769
shut,770
idled,771
permanently,772
charge,773
restructure,774
indefinite,775
idling,776
utah,777
pennsylvania,778
parts,779
indiana,780
alabama,781
ohio,782
improved,783
conditions,784
products,785
feasible,786
reopen,787
hand,788
lack,789
future,790
improvement,791
necessitate,792
permanent,793
closing,794
phillips,795
steps,796
pare,797
petroleum,798
chairman,799
pete,800
ranked,801
list,802
stocks,803
traded,804
rose,805
partly,806
interview,807
strength,808
happy,809
share,810
source,811
stood,812
december,813
high,814
closer,815
actual,816
sense,817
cautious,818
fluctuate,819
industry,820
reason,821
popularity,822
discount,823
appraised,824
charles,825
andrew,826
john,827
greenwich,828
conn,829
based,830
tremendous,831
leverage,832
steady,833
room,834
revised,835
asset,836
completed,837
planned,838
begins,839
began,840
outstanding,841
senior,842
subordinated,843
debentures,844
pursuant,845
receive,846
notes,847
non-interest,848
bearing,849
delayed,850
liquidation,851
preference,852
expire,853
april,854
crucial,855
chapter,856
purpose,857
service,858
increase,859
stockholders,860
equity,861
induce,862
lender,863
continue,864
assuming,865
acceptance,866
cash,867
requirements,868
reduced,869
completion,870
subject,871
tender,872
waive,873
default,874
loan,875
revises,876
payout,877
shareholder,878
distributions,879
november,880
full,881
surplus,882
january,883
full-year,884
posted,885
year-earlier,886
fiscal,887
wind,888
affairs,889
proceeding,890
periods,891
barring,892
circumstances,893
losses,894
downward,895
adjustments,896
portfolio,897
syndicated,898
sovereign,899
loans,900
required,901
confined,902
activities,903
votes,904
block,905
contra,906
nicaraguan,907
accounts,908
past,909
diverted,910
vote,911
temporary,912
defeat,913
contras,914
initiative,915
congressional,916
leaders,917
conceded,918
two-thirds,919
majority,920
override,921
veto,922
battle,923
requesting,924
gold,925
mines,926
argentine,927
meat,928
exports,929
buenos,930
aires,931
totalled,932
tonnes,933
shipped,934
national,935
board,936
shipments,937
comparative,938
brackets,939
beef,940
horse,941
main,942
destinations,943
bone,944
equivalent,945
brazil,946
unavailable,947
israel,948
peru,949
singapore,950
switzerland,951
canary,952
islands,953
aruba,954
chile,955
canned,956
cooked,957
plans,958
two-for-one,959
pending,960
approval,961
cast,962
pct-owner,963
campbell,964
lake,965
favor,966
approved,967
mass,968
systems,969
number,970
authorized,971
reserved,972
options,973
rowe,974
furniture,975
sets,976
qtly,977
salem,978
prior,979
panel,980
bill,981
jacqueline,982
frank,983
lawmakers,984
measures,985
designed,986
toughen,987
laws,988
difficult,989
controversial,990
industries,991
meeting,992
means,993
subcommittee,994
resolve,995
partners,996
severely,997
surpluses,998
toned-down,999
legislation,1000
open,1001
drops,1002
effort,1003
retaliate,1004
quotas,1005
tariffs,1006
aides,1007
identified,1008
intend,1009
proposals,1010
proposal,1011
mandate,1012
retaliation,1013
setting,1014
specific,1015
penalties,1016
faces,1017
hurdle,1018
richard,1019
gephardt,1020
missouri,1021
democrat,1022
party,1023
presidential,1024
nomination,1025
amendment,1026
call,1027
reductions,1028
barriers,1029
imports,1030
goods,1031
plan,1032
mandatory,1033
cent,1034
japan,1035
south,1036
korea,1037
taiwan,1038
west,1039
germany,1040
imbalances,1041
criteria,1042
standard,1043
deficit,1044
opening,1045
making,1046
competitive,1047
speaker,1048
wright,1049
approve,1050
accept,1051
final,1052
pass,1053
comprehensive,1054
work,1055
committees,1056
export,1057
controls,1058
technology,1059
workers,1060
competition,1061
stimulate,1062
remove,1063
improve,1064
education,1065
worker,1066
training,1067
producers,1068
unfair,1069
deny,1070
basic,1071
rights,1072
collective,1073
bargaining,1074
rules,1075
minimum,1076
wage,1077
transferred,1078
clayton,1079
yeutter,1080
powers,1081
decide,1082
violations,1083
fair,1084
injured,1085
deserves,1086
import,1087
relief,1088
easier,1089
cautiously,1090
optimistic,1091
acceptable,1092
soviet,1093
french,1094
deputy,1095
joint,1096
france,1097
union,1098
depended,1099
agro-industrial,1100
variety,1101
deals,1102
rhone-poulenc,1103
pechiney,1104
contracts,1105
plant,1106
processing,1107
highly,1108
packaging,1109
agricultural,1110
fruit,1111
vegetable,1112
juice,1113
agreement,1114
intent,1115
signed,1116
details,1117
immediately,1118
comment,1119
foresaw,1120
shortfall,1121
francs,1122
depends,1123
ministers,1124
committed,1125
increased,1126
estimates,1127
showed,1128
franc,1129
interesting,1130
latest,1131
assuring,1132
mutual,1133
advantage,1134
ahead,1135
deal,1136
rapidly,1137
considered,1138
encouraged,1139
guaranteeing,1140
interests,1141
ventures,1142
finalised,1143
venture,1144
concrete,1145
result,1146
dollar,1147
moscow,1148
businessman,1149
preparing,1150
examination,1151
worth,1152
renew,1153
capacity,1154
venezuela,1155
lend,1156
ecuador,1157
caracas,1158
supply,1159
undetermined,1160
meet,1161
commitments,1162
affected,1163
earthquake,1164
energy,1165
arturo,1166
hernandez,1167
grisanti,1168
gave,1169
petroleos,1170
pdvsa,1171
cepe,1172
forced,1173
suspend,1174
damaged,1175
pipeline,1176
income,1177
palace,1178
fernando,1179
santos,1180
alvite,1181
arrived,1182
night,1183
volume,1184
lent,1185
discounted,1186
opec,1187
quota,1188
affect,1189
produce,1190
additional,1191
amounts,1192
repaying,1193
elaborate,1194
arrangements,1195
telex,1196
lending,1197
output,1198
eagle,1199
clothes,1200
provision,1201
doubtful,1202
issuance,1203
iraq,1204
attack,1205
repulsed,1206
southern,1207
front,1208
baghdad,1209
repelled,1210
iranian,1211
corps,1212
iraqi,1213
town,1214
highway,1215
communique,1216
infantry,1217
brigade,1218
backed,1219
tanks,1220
launched,1221
overnight,1222
fierce,1223
fighting,1224
hours,1225
troops,1226
fled,1227
battlefield,1228
leaving,1229
killed,1230
wounded,1231
battles,1232
fought,1233
running,1234
eastward,1235
port,1236
city,1237
basra,1238
britain,1239
calls,1240
london,1241
protectionism,1242
harm,1243
bring,1244
paul,1245
channon,1246
heed,1247
issued,1248
japanese,1249
advisory,1250
body,1251
calling,1252
economy,1253
recognise,1254
brought,1255
problems,1256
businessmen,1257
term,1258
difficulties,1259
allowed,1260
deflect,1261
fundamental,1262
propensity,1263
expand,1264
protectionist,1265
lobbies,1266
massive,1267
succeed,1268
securing,1269
governments,1270
injurious,1271
substantial,1272
amounting,1273
sterling,1274
text,1275
taft,1276
broadcasting,1277
rejects,1278
buyout,1279
theta,1280
blah,1281
cincinnati,1282
directors,1283
unanimously,1284
decided,1285
investor,1286
dudley,1287
decision,1288
things,1289
advise,1290
advisors,1291
goldman,1292
sachs,1293
inadequate,1294
concluded,1295
recognize,1296
fully,1297
management,1298
explore,1299
alternatives,1300
restructuring,1301
honoured,1302
quake,1303
survival,1304
quito,1305
stricken,1306
severe,1307
honour,1308
ensuring,1309
tremor,1310
claimed,1311
lives,1312
caused,1313
persons,1314
disappear,1315
position,1316
permit,1317
sacrificing,1318
survive,1319
comply,1320
information,1321
marco,1322
lara,1323
nation,1324
announce,1325
definitive,1326
aftermath,1327
criticises,1328
proposed,1329
oils,1330
european,1331
community,1332
fats,1333
raise,1334
fish,1335
chips,1336
pledged,1337
fight,1338
lord,1339
junior,1340
agriculture,1341
lords,1342
processed,1343
foods,1344
revenue,1345
raised,1346
taxing,1347
consumer,1348
repugnant,1349
australian,1350
unemployment,1351
eases,1352
canberra,1353
australia,1354
seasonally-adjusted,1355
eased,1356
workforce,1357
statistics,1358
bureau,1359
unemployed,1360
declined,1361
unadjusted,1362
jobless,1363
seeks,1364
halt,1365
negotiations,1366
postpone,1367
rest,1368
finance,1369
domingo,1370
cordovez,1371
idea,1372
obtain,1373
ecuadorean,1374
complete,1375
deferral,1376
present,1377
referred,1378
creditors,1379
totals,1380
refer,1381
debts,1382
maturing,1383
multilateral,1384
agencies,1385
accounting,1386
remainder,1387
owed,1388
seek,1389
organisations,1390
mission,1391
evaluate,1392
emergency,1393
appealed,1394
calculated,1395
ruptured,1396
suspending,1397
line,1398
repaired,1399
revenues,1400
suspended,1401
stopped,1402
cash-flow,1403
squeeze,1404
stemming,1405
slide,1406
telephone,1407
contact,1408
represents,1409
perceive,1410
impossible,1411
moment,1412
reality,1413
softening,1414
negotiation,1415
monthly,1416
initial,1417
semi-annual,1418
sought,1419
defer,1420
earliest,1421
bankers,1422
formal,1423
hour,1424
leon,1425
febres,1426
cordero,1427
paratroopers,1428
cross,1429
missing,1430
declines,1431
foster,1432
stability,1433
speech,1434
fitness,1435
foundation,1436
banquet,1437
currency,1438
intervention,1439
levels,1440
replied,1441
views,1442
reaction,1443
compensate,1444
lost,1445
discuss,1446
organisation,1447
exporting,1448
related,1449
mexico,1450
repairs,1451
venezuelan,1452
unspecified,1453
hoped,1454
cargo,1455
leave,1456
maracaibo,1457
weekend,1458
refineries,1459
guayaquil,1460
caribbean,1461
korean,1462
unable,1463
extensive,1464
damage,1465
mile,1466
stretch,1467
linking,1468
jungle,1469
oilfields,1470
pacific,1471
balao,1472
china,1473
rapeseed,1474
crop,1475
storms,1476
peking,1477
yield,1478
hectares,1479
central,1480
swept,1481
crops,1482
agency,1483
storm,1484
lashed,1485
yangtze,1486
rivers,1487
eastern,1488
anhui,1489
province,1490
left,1491
dead,1492
houses,1493
boats,1494
sunk,1495
provincial,1496
counties,1497
closes,1498
round,1499
offshore,1500
bids,1501
bidding,1502
firms,1503
exploration,1504
daily,1505
quoted,1506
blocks,1507
pearl,1508
river,1509
mouth,1510
yellow,1511
covering,1512
produced,1513
south-east,1514
shenzhen,1515
drilled,1516
enter,1517
bound,1518
restrictions,1519
imposed,1520
foreigners,1521
eleven,1522
terminated,1523
discovered,1524
invested,1525
relaxes,1526
outlets,1527
tokyo,1528
relaxed,1529
limit,1530
growing,1531
individual,1532
ministry,1533
apply,1534
department,1535
stores,1536
supermarkets,1537
locations,1538
convenient,1539
ruling,1540
imposes,1541
hiring,1542
freeze,1543
takeover,1544
detroit,1545
motors,1546
ordered,1547
view,1548
chrysler,1549
merger,1550
wednesday,1551
review,1552
periodically,1553
acknowledged,1554
monday,1555
automaker,1556
motivated,1557
principally,1558
desire,1559
acquire,1560
profitable,1561
jeep,1562
dealers,1563
modern,1564
assembly,1565
bramalea,1566
ontario,1567
guaranteed,1568
leaves,1569
fate,1570
toledo,1571
hourly,1572
layoff,1573
kenosha,1574
wisconsin,1575
rothmans,1576
close,1577
rot.l,1578
cigarette,1579
factory,1580
shandong,1581
quality,1582
cigarettes,1583
chinese,1584
newspapers,1585
high-quality,1586
brand,1587
advanced,1588
machinery,1589
technical,1590
donated,1591
co-operation,1592
newspaper,1593
papers,1594
inflow,1595
jumped,1596
attributed,1597
turnaround,1598
transactions,1599
direct,1600
outflow,1601
largely,1602
borrowings,1603
recorded,1604
withdrawal,1605
injection,1606
local,1607
remained,1608
comprised,1609
authority,1610
carries,1611
nuclear,1612
carried,1613
tass,1614
monitored,1615
corporation,1616
explosion,1617
blast,1618
unilateral,1619
moratorium,1620
declared,1621
blamed,1622
refusal,1623
join,1624
power,1625
improving,1626
equipment,1627
maize,1628
rising,1629
taipei,1630
importers,1631
target,1632
calendar,1633
curbs,1634
relax,1635
items,1636
books,1637
greater,1638
farm,1639
council,1640
planning,1641
intended,1642
balance,1643
island,1644
wine,1645
beer,1646
hope,1647
pressing,1648
wider,1649
cutting,1650
spotlight,1651
mitsubishi,1652
fumiko,1653
fujisaki,1654
redirect,1655
export-driven,1656
consumption,1657
face,1658
defence,1659
contractor,1660
biggest,1661
mith.t,1662
ships,1663
iron,1664
cheapest,1665
shipbuilding,1666
construction,1667
hard,1668
abandon,1669
activity,1670
aircraft,1671
component,1672
manufacture,1673
performed,1674
spends,1675
procurement,1676
surprised,1677
inside,1678
robots,1679
computers,1680
pared,1681
competitors,1682
slashed,1683
cost-cutting,1684
profits,1685
ending,1686
stake,1687
mimt.t,1688
resurgence,1689
recovery,1690
coupled,1691
persistent,1692
developing,1693
restore,1694
decade,1695
half-year,1696
promising,1697
considers,1698
customers,1699
trouble,1700
felt,1701
recover,1702
product,1703
strategy,1704
prove,1705
popular,1706
shipping,1707
low-priced,1708
building,1709
carriers,1710
carry,1711
liquefied,1712
transport,1713
shipbuilders,1714
association,1715
orders,1716
domestically,1717
projects,1718
reactors,1719
launch,1720
vehicles,1721
man-made,1722
satellites,1723
fighters,1724
missiles,1725
built,1726
licence,1727
heading,1728
develop,1729
fighter,1730
plane,1731
replace,1732
late,1733
experts,1734
putting,1735
mcdonnell,1736
douglas,1737
dynamics,1738
huge,1739
jointly,1740
planes,1741
makers,1742
supported,1743
umbrella,1744
cooperate,1745
strategic,1746
space,1747
participating,1748
project,1749
moves,1750
stage,1751
technological,1752
accounted,1753
ideal,1754
remaining,1755
shift,1756
household,1757
bankruptcies,1758
decline,1759
straight,1760
relaxation,1761
settlements,1762
fewer,1763
depreciation,1764
cumulative,1765
seasonal,1766
reasons,1767
starting,1768
slow,1769
starts,1770
subcontractors,1771
overseas,1772
bangladesh,1773
chittagong,1774
handling,1775
resumed,1776
triggered,1777
dispute,1778
loading,1779
unloading,1780
stranded,1781
started,1782
morning,1783
strikers,1784
returned,1785
authorities,1786
giving,1787
leigh-pemberton,1788
opposes,1789
favour,1790
introduction,1791
shield,1792
hostile,1793
attempts,1794
governor,1795
robin,1796
advising,1797
restraint,1798
responsibility,1799
avoid,1800
excesses,1801
marred,1802
takeovers,1803
regional,1804
confederation,1805
dinner,1806
ties,1807
institutional,1808
suggesting,1809
granted,1810
seats,1811
boards,1812
invest,1813
unwelcome,1814
predators,1815
step,1816
protected,1817
mergers,1818
important,1819
role,1820
play,1821
economies,1822
scale,1823
integration,1824
efficient,1825
penetration,1826
degree,1827
success,1828
failure,1829
experience,1830
contested,1831
dedicated,1832
solely,1833
favourable,1834
expense,1835
depend,1836
creating,1837
artificial,1838
situation,1839
sides,1840
engage,1841
aggressive,1842
manipulative,1843
tactics,1844
immensely,1845
damaging,1846
clear,1847
reference,1848
events,1849
suggest,1850
measure,1851
entails,1852
exercise,1853
careful,1854
judgment,1855
outset,1856
clients,1857
exxon,1858
studying,1859
resin,1860
chemical,1861
petrochemical,1862
division,1863
accelerate,1864
equally-owned,1865
resins,1866
widely,1867
adhesive,1868
applications,1869
baby,1870
medical,1871
tapes,1872
bonding,1873
agents,1874
wholly-owned,1875
subsidiary,1876
kogyo,1877
owned,1878
purchase,1879
high-tech,1880
opposed,1881
blocking,1882
acquisition,1883
computer,1884
semiconductor,1885
concerns,1886
security,1887
grounds,1888
schlumberger,1889
fairchild,1890
fujitsu,1891
itsu.t,1892
overly,1893
dependent,1894
electronics,1895
intelligence,1896
gathering,1897
worsen,1898
strained,1899
relations,1900
coming,1901
caspar,1902
weinberger,1903
transfer,1904
negotiators,1905
recently,1906
prefers,1907
supercomputers,1908
s.korea,1909
cotton,1910
seoul,1911
quarters,1912
competitiveness,1913
importer,1914
wheat,1915
melbourne,1916
reach,1917
tonne,1918
detail,1919
egypt,1920
exported,1921
harvest,1922
cool,1923
summer,1924
delivered,1925
season,1926
downgraded,1927
feed,1928
grain,1929
farms,1930
milling,1931
announcement,1932
publication,1933
nearer,1934
retained,1935
system,1936
introduced,1937
farmers,1938
economics,1939
north,1940
one-for-five,1941
float,1942
broken,1943
hill,1944
newly,1945
offshoot,1946
offered,1947
cents,1948
registered,1949
precious,1950
metal,1951
deposit,1952
acquired,1953
creek,1954
western,1955
ounces,1956
scheduled,1957
begin,1958
platinum,1959
northern,1960
territory,1961
copper,1962
queensland,1963
wales,1964
tasmania,1965
brokerage,1966
fees,1967
response,1968
transaction,1969
bills,1970
draft,1971
revision,1972
percentage,1973
inverse,1974
proportion,1975
size,1976
transacted,1977
sources,1978
worked,1979
unsure,1980
timing,1981
parliamentary,1982
uncertain,1983
opposition,1984
forecast,1985
survey,1986
moving,1987
sectors,1988
bold,1989
achieve,1990
gross,1991
package,1992
worldwide,1993
electronic,1994
appliance,1995
trends,1996
non-ferrous,1997
cuts,1998
striking,1999
seamen,2000
threaten,2001
resignation,2002
stephen,2003
powell,2004
day-old,2005
spurred,2006
marines,2007
occupied,2008
ship,2009
harbour,2010
tuesday,2011
vessel,2012
jose,2013
sarney,2014
despatched,2015
ports,2016
installations,2017
mood,2018
orlando,2019
resignations,2020
headquarters,2021
janeiro,2022
resign,2023
crisis,2024
sharp,2025
deterioration,2026
shipowners,2027
quick,2028
advertisement,2029
read,2030
illegal,2031
irrational,2032
respond,2033
salaries,2034
lists,2035
office,2036
ordinary,2037
cruzados,2038
allowances,2039
worst,2040
paid,2041
ghana,2042
doubled,2043
collapse,2044
cruzado,2045
labour,2046
almir,2047
pazzionotto,2048
employers,2049
german,2050
marks,2051
bundesbank,2052
indonesian,2053
coffee,2054
jakarta,2055
indonesia,2056
exporters,2057
trees,2058
pests,2059
remains,2060
harvested,2061
normal,2062
predicted,2063
valued,2064
yielding,2065
seeds,2066
renouf,2067
sells,2068
brierley,2069
wellington,2070
investments,2071
mike,2072
intention,2073
build,2074
holding,2075
warrants,2076
attached,2077
swiss,2078
warrant,2079
entitling,2080
bearer,2081
places,2082
consolidate,2083
pursue,2084
opportunities,2085
executives,2086
boliden,2087
blds,2088
stockholm,2089
expenses,2090
crowns,2091
consolidated,2092
wholesale,2093
conglomerate,2094
mint,2095
britannia,2096
coin,2097
autumn,2098
bullion,2099
ounce,2100
coins,2101
smaller,2102
denominations,2103
tenth,2104
saudi,2105
lean,2106
jukes,2107
riyadh,2108
arabia,2109
commercial,2110
reporting,2111
provisions,2112
cover,2113
performing,2114
kingdom,2115
sluggish,2116
legal,2117
hampering,2118
traditional,2119
remain,2120
vulnerable,2121
credit,2122
identifying,2123
earning,2124
sudden,2125
culminating,2126
reschedulings,2127
toll,2128
appearing,2129
showing,2130
successive,2131
riyals,2132
tumbled,2133
joint-venture,2134
operate,2135
revealed,2136
newest,2137
smallest,2138
marginally,2139
staff,2140
released,2141
slid,2142
citicorp,2143
cci.n,2144
citibank,2145
banque,2146
indosuez,2147
arab,2148
signs,2149
bottoms,2150
upturn,2151
banker,2152
advances,2153
riyad,2154
rival,2155
shareholding,2156
islamic,2157
coincide,2158
arabian,2159
sama,2160
tightening,2161
supervision,2162
rule,2163
declaring,2164
non-performing,2165
makes,2166
comparison,2167
book,2168
non-accruing,2169
follow,2170
conservative,2171
practices,2172
centres,2173
generally,2174
rank,2175
strongest,2176
earners,2177
base,2178
traditionally,2179
cairo,2180
troubled,2181
light,2182
cheap,2183
deposits,2184
generate,2185
liquidity,2186
unwilling,2187
incurring,2188
fresh,2189
liberal,2190
diversify,2191
caution,2192
trend,2193
ample,2194
interest-free,2195
interest-bearing,2196
customer,2197
repurchase,2198
absorb,2199
projected,2200
distribution,2201
allocation,2202
two-month,2203
certificates,2204
operation,2205
guinness,2206
challenges,2207
lawyer,2208
jersey,2209
guin.l,2210
brewing,2211
challenged,2212
organised,2213
scotch,2214
whisky,2215
distillers,2216
attorneys,2217
thomas,2218
ward,2219
channel,2220
investigating,2221
ernest,2222
saunders,2223
breached,2224
fiduciary,2225
duty,2226
jersey-based,2227
marketing,2228
acquisitions,2229
consultants,2230
documents,2231
negotiator,2232
bidder,2233
argyll,2234
successful,2235
submitted,2236
reasonable,2237
proper,2238
earned,2239
poll,2240
tories,2241
six-point,2242
lead,2243
conservatives,2244
moved,2245
marplan,2246
published,2247
guardian,2248
reports,2249
shown,2250
centrist,2251
alliance,2252
margaret,2253
thatcher,2254
election,2255
political,2256
compromise,2257
jeremy,2258
clift,2259
depressed,2260
urging,2261
lobby,2262
resolution,2263
deadlocked,2264
trimming,2265
sticks,2266
hardline,2267
bridge,2268
producing,2269
costa,2270
rica,2271
dominican,2272
republic,2273
honduras,2274
india,2275
papua,2276
guinea,2277
blocked,2278
hoping,2279
colombia,2280
contacts,2281
attended,2282
latin,2283
members,2284
suffer,2285
stays,2286
